"caseid","age_a","marstat","reldlife","religion","samesex","intvwyear","lifprtnr","timesmar","attnd14","fmarit","gayadopt","lifeprt","sxok18","staytog","prvntdiv","achieve"
77416,34,5,1,3,3,2017,3,1,NA,4,NA,NA,NA,NA,NA,NA
77417,22,6,1,3,4,2015,0,NA,2,5,NA,NA,NA,NA,NA,NA
77418,48,1,1,3,2,2017,9,3,NA,1,NA,NA,NA,NA,NA,NA
77419,19,6,NA,1,2,2016,5,NA,1,5,NA,NA,NA,NA,NA,NA
77421,24,2,2,2,2,2016,3,NA,2,5,NA,NA,NA,NA,NA,NA
77422,22,6,NA,1,2,2017,1,NA,7,5,NA,NA,NA,NA,NA,NA
77425,45,1,1,3,5,2016,2,2,NA,1,NA,NA,NA,NA,NA,NA
77426,22,2,2,3,2,2017,20,NA,2,5,NA,NA,NA,NA,NA,NA
77428,16,6,2,3,2,2017,3,NA,6,5,NA,NA,NA,NA,NA,NA
77429,40,1,1,3,4,2015,4,1,NA,1,NA,NA,NA,NA,NA,NA
77432,26,6,2,4,1,2017,50,NA,NA,5,NA,NA,NA,NA,NA,NA
77434,35,4,NA,1,1,2017,12,1,NA,3,NA,NA,NA,NA,NA,NA
77438,45,1,1,3,3,2017,2,1,NA,1,NA,NA,NA,NA,NA,NA
77439,17,6,2,2,2,2017,0,NA,5,5,NA,NA,NA,NA,NA,NA
77441,17,6,2,3,2,2017,0,NA,6,5,NA,NA,NA,NA,NA,NA
77442,49,2,1,3,4,2016,15,NA,NA,5,NA,NA,NA,NA,NA,NA
77443,24,8,2,2,1,2015,1,NA,2,0,NA,NA,NA,NA,NA,NA
77445,30,1,NA,1,1,2015,2,1,NA,1,NA,NA,NA,NA,NA,NA
77446,49,6,2,2,2,2015,1,NA,NA,5,NA,NA,NA,NA,NA,NA
77447,29,1,2,3,2,2017,3,1,NA,1,NA,NA,NA,NA,NA,NA
77448,41,2,1,3,1,2016,5,NA,NA,5,NA,NA,NA,NA,NA,NA
77452,30,6,2,3,1,2016,8,NA,NA,5,NA,NA,NA,NA,NA,NA
77453,32,1,2,3,5,2016,2,1,NA,1,NA,NA,NA,NA,NA,NA
77454,15,6,1,3,1,2016,0,NA,2,5,NA,NA,NA,NA,NA,NA
77455,16,6,1,3,3,2016,2,NA,7,5,NA,NA,NA,NA,NA,NA
77457,34,1,2,3,2,2016,4,1,NA,1,NA,NA,NA,NA,NA,NA
77461,42,1,2,2,1,2016,5,1,NA,1,NA,NA,NA,NA,NA,NA
77464,38,1,2,2,1,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77471,43,1,1,3,4,2017,6,1,NA,1,NA,NA,NA,NA,NA,NA
77472,46,1,NA,1,1,2017,3,1,NA,1,NA,NA,NA,NA,NA,NA
77476,19,6,1,4,2,2016,1,NA,1,5,NA,NA,NA,NA,NA,NA
77478,39,1,1,3,1,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77484,19,6,2,2,1,2017,2,NA,1,5,NA,NA,NA,NA,NA,NA
77486,48,6,2,3,3,2017,2,NA,NA,5,NA,NA,NA,NA,NA,NA
77489,18,6,1,3,3,2016,0,NA,2,5,NA,NA,NA,NA,NA,NA
77490,38,1,1,3,4,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77492,49,1,1,3,4,2017,9,2,NA,1,NA,NA,NA,NA,NA,NA
77494,18,6,2,4,1,2016,2,NA,2,5,NA,NA,NA,NA,NA,NA
77496,32,1,2,2,1,2016,10,1,NA,1,NA,NA,NA,NA,NA,NA
77499,34,4,2,3,3,2016,6,1,NA,3,NA,NA,NA,NA,NA,NA
77501,35,3,2,2,2,2017,8,1,NA,2,NA,NA,NA,NA,NA,NA
77502,33,1,1,3,5,2015,10,3,NA,1,NA,NA,NA,NA,NA,NA
77503,38,1,1,2,2,2017,1,1,NA,1,NA,NA,NA,NA,NA,NA
77504,25,6,1,3,3,2015,6,NA,NA,5,NA,NA,NA,NA,NA,NA
77505,34,1,2,2,4,2015,2,1,NA,1,NA,NA,NA,NA,NA,NA
77506,22,6,NA,1,2,2017,10,NA,2,5,NA,NA,NA,NA,NA,NA
77509,29,4,2,3,2,2016,7,1,NA,3,NA,NA,NA,NA,NA,NA
77510,25,6,NA,1,1,2017,0,NA,NA,5,NA,NA,NA,NA,NA,NA
77511,23,6,1,3,4,2016,4,NA,3,5,NA,NA,NA,NA,NA,NA
77513,45,4,NA,1,2,2016,4,1,NA,3,NA,NA,NA,NA,NA,NA
77514,29,2,1,3,2,2015,6,NA,NA,5,NA,NA,NA,NA,NA,NA
77515,21,1,2,3,2,2017,9,1,2,1,NA,NA,NA,NA,NA,NA
77518,32,1,1,2,1,2017,10,1,NA,1,NA,NA,NA,NA,NA,NA
77519,37,2,NA,1,2,2017,50,NA,NA,5,NA,NA,NA,NA,NA,NA
77521,32,4,NA,1,2,2016,5,1,NA,3,NA,NA,NA,NA,NA,NA
77522,15,6,1,2,2,2016,0,NA,5,5,NA,NA,NA,NA,NA,NA
77523,45,1,NA,1,2,2016,5,1,NA,1,NA,NA,NA,NA,NA,NA
77524,47,1,1,3,3,2016,4,1,NA,1,NA,NA,NA,NA,NA,NA
77525,32,6,1,3,3,2015,2,NA,NA,5,NA,NA,NA,NA,NA,NA
77526,34,1,1,3,2,2016,5,1,NA,1,NA,NA,NA,NA,NA,NA
77529,21,6,1,3,4,2016,3,NA,2,5,NA,NA,NA,NA,NA,NA
77530,15,6,2,3,3,2016,0,NA,2,5,NA,NA,NA,NA,NA,NA
77531,30,6,NA,1,1,2016,30,NA,NA,5,NA,NA,NA,NA,NA,NA
77535,16,6,2,3,1,2016,0,NA,3,5,NA,NA,NA,NA,NA,NA
77536,30,1,1,2,2,2016,9,1,NA,1,NA,NA,NA,NA,NA,NA
77537,26,1,1,2,4,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77539,21,6,1,2,2,2017,0,NA,2,5,NA,NA,NA,NA,NA,NA
77541,30,1,1,2,4,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA
77542,31,1,1,3,1,2015,1,1,NA,1,NA,NA,NA,NA,NA,NA
77543,39,6,1,2,3,2017,1,NA,NA,5,NA,NA,NA,NA,NA,NA
77544,19,6,NA,1,3,2016,1,NA,6,5,NA,NA,NA,NA,NA,NA
77546,42,4,1,4,3,2017,4,1,NA,3,NA,NA,NA,NA,NA,NA
77547,44,1,1,4,3,2017,1,1,NA,1,NA,NA,NA,NA,NA,NA
77548,36,1,1,2,5,2017,2,1,NA,1,NA,NA,NA,NA,NA,NA
77549,41,6,2,2,2,2017,10,NA,NA,5,NA,NA,NA,NA,NA,NA
77550,17,6,1,2,2,2017,2,NA,3,5,NA,NA,NA,NA,NA,NA
77552,18,6,1,3,1,2017,0,NA,1,5,NA,NA,NA,NA,NA,NA
77553,37,1,2,3,2,2016,20,2,NA,1,NA,NA,NA,NA,NA,NA
77554,48,4,1,3,4,2016,7,2,NA,3,NA,NA,NA,NA,NA,NA
77555,31,6,1,3,1,2016,13,NA,NA,5,NA,NA,NA,NA,NA,NA
77556,37,1,1,4,4,2016,5,3,NA,1,NA,NA,NA,NA,NA,NA
77557,16,6,NA,1,1,2017,0,NA,2,5,NA,NA,NA,NA,NA,NA
77560,23,6,2,3,1,2015,5,NA,3,5,NA,NA,NA,NA,NA,NA
77561,20,6,1,4,4,2016,0,NA,1,5,NA,NA,NA,NA,NA,NA
77562,25,2,1,2,3,2017,1,NA,NA,5,NA,NA,NA,NA,NA,NA
77563,32,4,1,3,4,2016,3,1,NA,3,NA,NA,NA,NA,NA,NA
77564,46,1,2,2,2,2017,5,1,NA,1,NA,NA,NA,NA,NA,NA
77566,44,1,1,3,2,2015,10,1,NA,1,NA,NA,NA,NA,NA,NA
77567,24,6,1,2,2,2015,7,NA,1,5,NA,NA,NA,NA,NA,NA
77568,37,1,1,3,2,2017,3,1,NA,1,NA,NA,NA,NA,NA,NA
77569,17,6,1,2,1,2016,0,NA,2,5,NA,NA,NA,NA,NA,NA
77571,16,6,NA,1,2,2017,0,NA,7,5,NA,NA,NA,NA,NA,NA
77573,32,1,2,3,2,2017,3,1,NA,1,NA,NA,NA,NA,NA,NA
